"","Code.or.Value","Value.Description","Count","Cumulative","Skip.to.Item","Variable","Fichier","jointure","var_tab"
"4837","7","Refused",0,"3803","DEQ038G","DEQ034D","DEQ_I.htm","DEQ034D_DEQ_7","DEQ034D_DEQ"
"4838","9","Don't know",0,"3803","DEQ038G","DEQ034D","DEQ_I.htm","DEQ034D_DEQ_9","DEQ034D_DEQ"
"4839",".","Missing",15,"3818","","DEQ034D","DEQ_I.htm","DEQ034D_DEQ_.","DEQ034D_DEQ"
"4840","1","Enter number",1339,"1339",NA,"DEQ038G","DEQ_I.htm","DEQ038G_DEQ_1","DEQ038G_DEQ"
"4841","2","Never",2469,"3808",NA,"DEQ038G","DEQ_I.htm","DEQ038G_DEQ_2","DEQ038G_DEQ"
"4842","7","Refused",0,"3808",NA,"DEQ038G","DEQ_I.htm","DEQ038G_DEQ_7","DEQ038G_DEQ"
"4843","9","Don't know",10,"3818",NA,"DEQ038G","DEQ_I.htm","DEQ038G_DEQ_9","DEQ038G_DEQ"
"4844",".","Missing",0,"3818",NA,"DEQ038G","DEQ_I.htm","DEQ038G_DEQ_.","DEQ038G_DEQ"
"4845","1 to 15","Range of Values",1328,"1328",NA,"DEQ038Q","DEQ_I.htm","DEQ038Q_DEQ_1 to 15","DEQ038Q_DEQ"
"4846","20","20 or more times",10,"1338",NA,"DEQ038Q","DEQ_I.htm","DEQ038Q_DEQ_20","DEQ038Q_DEQ"
"4847","77777","Refused",0,"1338",NA,"DEQ038Q","DEQ_I.htm","DEQ038Q_DEQ_77777","DEQ038Q_DEQ"
"4848","99999","Don't know",1,"1339",NA,"DEQ038Q","DEQ_I.htm","DEQ038Q_DEQ_99999","DEQ038Q_DEQ"
"4849",".","Missing",2479,"3818",NA,"DEQ038Q","DEQ_I.htm","DEQ038Q_DEQ_.","DEQ038Q_DEQ"
"4850","15 to 480","Range of Values",2199,"2199",NA,"DED120","DEQ_I.htm","DED120_DEQ_15 to 480","DED120_DEQ"
"4851","0","No time spent outdoors",1079,"3278",NA,"DED120","DEQ_I.htm","DED120_DEQ_0","DED120_DEQ"
"4852","14","1-14 minutes",92,"3370",NA,"DED120","DEQ_I.htm","DED120_DEQ_14","DED120_DEQ"
"4853","3333","Does not work or go to school",428,"3798",NA,"DED120","DEQ_I.htm","DED120_DEQ_3333","DED120_DEQ"
"4854","7777","Refused",0,"3798",NA,"DED120","DEQ_I.htm","DED120_DEQ_7777","DED120_DEQ"
"4855","9999","Don't Know",16,"3814",NA,"DED120","DEQ_I.htm","DED120_DEQ_9999","DED120_DEQ"
"4856",".","Missing",4,"3818",NA,"DED120","DEQ_I.htm","DED120_DEQ_.","DED120_DEQ"
"4857","15 to 480","Range of Values",3194,"3194",NA,"DED125","DEQ_I.htm","DED125_DEQ_15 to 480","DED125_DEQ"
"4858","0","No time spent outdoors",536,"3730",NA,"DED125","DEQ_I.htm","DED125_DEQ_0","DED125_DEQ"
"4859","14","1-14 minutes",55,"3785",NA,"DED125","DEQ_I.htm","DED125_DEQ_14","DED125_DEQ"
"4860","3333","At work or at school 9 to 5 seven days a week",8,"3793",NA,"DED125","DEQ_I.htm","DED125_DEQ_3333","DED125_DEQ"
"4861","7777","Refused",1,"3794",NA,"DED125","DEQ_I.htm","DED125_DEQ_7777","DED125_DEQ"
"4862","9999","Don't Know",20,"3814",NA,"DED125","DEQ_I.htm","DED125_DEQ_9999","DED125_DEQ"
"4863",".","Missing",4,"3818",NA,"DED125","DEQ_I.htm","DED125_DEQ_.","DED125_DEQ"
"4864","AUCUN","AUCUN",NA,NA,NA,"SEQN","DIQ_I.htm","SEQN_DIQ_AUCUN","SEQN_DIQ"
"4865","1","Yes",856,"856","","DIQ010","DIQ_I.htm","DIQ010_DIQ_1","DIQ010_DIQ"
"4866","2","No",8568,"9424","DIQ159","DIQ010","DIQ_I.htm","DIQ010_DIQ_2","DIQ010_DIQ"
"4867","3","Borderline",147,"9571","DIQ159","DIQ010","DIQ_I.htm","DIQ010_DIQ_3","DIQ010_DIQ"
"4868","7","Refused",0,"9571","DIQ159","DIQ010","DIQ_I.htm","DIQ010_DIQ_7","DIQ010_DIQ"
"4869","9","Don't know",4,"9575","DIQ159","DIQ010","DIQ_I.htm","DIQ010_DIQ_9","DIQ010_DIQ"
"4870",".","Missing",0,"9575","","DIQ010","DIQ_I.htm","DIQ010_DIQ_.","DIQ010_DIQ"
"4871","2 to 78","Range of Values",833,"833",NA,"DID040","DIQ_I.htm","DID040_DIQ_2 to 78","DID040_DIQ"
"4872","80","80 years or older",7,"840",NA,"DID040","DIQ_I.htm","DID040_DIQ_80","DID040_DIQ"
"4873","666","Less than 1 year",1,"841",NA,"DID040","DIQ_I.htm","DID040_DIQ_666","DID040_DIQ"
"4874","777","Refused",0,"841",NA,"DID040","DIQ_I.htm","DID040_DIQ_777","DID040_DIQ"
"4875","999","Don't know",12,"853",NA,"DID040","DIQ_I.htm","DID040_DIQ_999","DID040_DIQ"
"4876",".","Missing",8722,"9575",NA,"DID040","DIQ_I.htm","DID040_DIQ_.","DID040_DIQ"
"4877","AUCUN","AUCUN",NA,NA,NA,"DIQ159","DIQ_I.htm","DIQ159_DIQ_AUCUN","DIQ159_DIQ"
"4878","1","Yes",513,"513",NA,"DIQ160","DIQ_I.htm","DIQ160_DIQ_1","DIQ160_DIQ"
"4879","2","No",5521,"6034",NA,"DIQ160","DIQ_I.htm","DIQ160_DIQ_2","DIQ160_DIQ"
"4880","7","Refused",0,"6034",NA,"DIQ160","DIQ_I.htm","DIQ160_DIQ_7","DIQ160_DIQ"
"4881","9","Don't know",11,"6045",NA,"DIQ160","DIQ_I.htm","DIQ160_DIQ_9","DIQ160_DIQ"
"4882",".","Missing",3530,"9575",NA,"DIQ160","DIQ_I.htm","DIQ160_DIQ_.","DIQ160_DIQ"
"4883","1","Yes",899,"899",NA,"DIQ170","DIQ_I.htm","DIQ170_DIQ_1","DIQ170_DIQ"
"4884","2","No",5268,"6167",NA,"DIQ170","DIQ_I.htm","DIQ170_DIQ_2","DIQ170_DIQ"
"4885","7","Refused",0,"6167",NA,"DIQ170","DIQ_I.htm","DIQ170_DIQ_7","DIQ170_DIQ"
"4886","9","Don't know",19,"6186",NA,"DIQ170","DIQ_I.htm","DIQ170_DIQ_9","DIQ170_DIQ"
"4887",".","Missing",3389,"9575",NA,"DIQ170","DIQ_I.htm","DIQ170_DIQ_.","DIQ170_DIQ"
"4888","1","Yes",1588,"1588","","DIQ172   - Feel could be at risk for diabetes","DIQ_I.htm","DIQ172   - Feel could be at risk for diabetes_DIQ_1","DIQ172   - Feel could be at risk for diabetes_DIQ"
"4889","2","No",4510,"6098","DIQ180","DIQ172   - Feel could be at risk for diabetes","DIQ_I.htm","DIQ172   - Feel could be at risk for diabetes_DIQ_2","DIQ172   - Feel could be at risk for diabetes_DIQ"
"4890","7","Refused",1,"6099","DIQ180","DIQ172   - Feel could be at risk for diabetes","DIQ_I.htm","DIQ172   - Feel could be at risk for diabetes_DIQ_7","DIQ172   - Feel could be at risk for diabetes_DIQ"
"4891","9","Don't know",87,"6186","DIQ180","DIQ172   - Feel could be at risk for diabetes","DIQ_I.htm","DIQ172   - Feel could be at risk for diabetes_DIQ_9","DIQ172   - Feel could be at risk for diabetes_DIQ"
"4892",".","Missing",3389,"9575","","DIQ172   - Feel could be at risk for diabetes","DIQ_I.htm","DIQ172   - Feel could be at risk for diabetes_DIQ_.","DIQ172   - Feel could be at risk for diabetes_DIQ"
"4893","10","Family history",1186,"1186",NA,"DIQ175A","DIQ_I.htm","DIQ175A_DIQ_10","DIQ175A_DIQ"
"4894","77","Refused",0,"1186",NA,"DIQ175A","DIQ_I.htm","DIQ175A_DIQ_77","DIQ175A_DIQ"
"4895","99","Don't know",0,"1186",NA,"DIQ175A","DIQ_I.htm","DIQ175A_DIQ_99","DIQ175A_DIQ"
"4896",".","Missing",8389,"9575",NA,"DIQ175A","DIQ_I.htm","DIQ175A_DIQ_.","DIQ175A_DIQ"
"4897","11","Overweight",601,"601",NA,"DIQ175B","DIQ_I.htm","DIQ175B_DIQ_11","DIQ175B_DIQ"
"4898",".","Missing",8974,"9575",NA,"DIQ175B","DIQ_I.htm","DIQ175B_DIQ_.","DIQ175B_DIQ"
"4899","12","Age",160,"160",NA,"DIQ175C","DIQ_I.htm","DIQ175C_DIQ_12","DIQ175C_DIQ"
"4900",".","Missing",9415,"9575",NA,"DIQ175C","DIQ_I.htm","DIQ175C_DIQ_.","DIQ175C_DIQ"
"4901","13","Poor diet",459,"459",NA,"DIQ175D","DIQ_I.htm","DIQ175D_DIQ_13","DIQ175D_DIQ"
"4902",".","Missing",9116,"9575",NA,"DIQ175D","DIQ_I.htm","DIQ175D_DIQ_.","DIQ175D_DIQ"
"4903","14","Race",155,"155",NA,"DIQ175E","DIQ_I.htm","DIQ175E_DIQ_14","DIQ175E_DIQ"
"4904",".","Missing",9420,"9575",NA,"DIQ175E","DIQ_I.htm","DIQ175E_DIQ_.","DIQ175E_DIQ"
"4905","15","Had a baby weighed over 9 lbs. at birth",53,"53",NA,"DIQ175F","DIQ_I.htm","DIQ175F_DIQ_15","DIQ175F_DIQ"
"4906",".","Missing",9522,"9575",NA,"DIQ175F","DIQ_I.htm","DIQ175F_DIQ_.","DIQ175F_DIQ"
"4907","16","Lack of physical activity",280,"280",NA,"DIQ175G","DIQ_I.htm","DIQ175G_DIQ_16","DIQ175G_DIQ"
"4908",".","Missing",9295,"9575",NA,"DIQ175G","DIQ_I.htm","DIQ175G_DIQ_.","DIQ175G_DIQ"
"4909","17","High blood pressure",258,"258",NA,"DIQ175H","DIQ_I.htm","DIQ175H_DIQ_17","DIQ175H_DIQ"
"4910",".","Missing",9317,"9575",NA,"DIQ175H","DIQ_I.htm","DIQ175H_DIQ_.","DIQ175H_DIQ"
"4911","18","High blood sugar",77,"77",NA,"DIQ175I","DIQ_I.htm","DIQ175I_DIQ_18","DIQ175I_DIQ"
"4912",".","Missing",9498,"9575",NA,"DIQ175I","DIQ_I.htm","DIQ175I_DIQ_.","DIQ175I_DIQ"
"4913","19","High cholesterol",150,"150",NA,"DIQ175J","DIQ_I.htm","DIQ175J_DIQ_19","DIQ175J_DIQ"
"4914",".","Missing",9425,"9575",NA,"DIQ175J","DIQ_I.htm","DIQ175J_DIQ_.","DIQ175J_DIQ"
"4915","20","Hypoglycemic",31,"31",NA,"DIQ175K","DIQ_I.htm","DIQ175K_DIQ_20","DIQ175K_DIQ"
"4916",".","Missing",9544,"9575",NA,"DIQ175K","DIQ_I.htm","DIQ175K_DIQ_.","DIQ175K_DIQ"
"4917","21","Extreme hunger",59,"59",NA,"DIQ175L","DIQ_I.htm","DIQ175L_DIQ_21","DIQ175L_DIQ"
"4918",".","Missing",9516,"9575",NA,"DIQ175L","DIQ_I.htm","DIQ175L_DIQ_.","DIQ175L_DIQ"
"4919","22","Tingling/numbness in hands or feet",138,"138",NA,"DIQ175M","DIQ_I.htm","DIQ175M_DIQ_22","DIQ175M_DIQ"
"4920",".","Missing",9437,"9575",NA,"DIQ175M","DIQ_I.htm","DIQ175M_DIQ_.","DIQ175M_DIQ"
"4921","23","Blurred vision",109,"109",NA,"DIQ175N","DIQ_I.htm","DIQ175N_DIQ_23","DIQ175N_DIQ"
"4922",".","Missing",9466,"9575",NA,"DIQ175N","DIQ_I.htm","DIQ175N_DIQ_.","DIQ175N_DIQ"
"4923","24","Increased fatigue",134,"134",NA,"DIQ175O","DIQ_I.htm","DIQ175O_DIQ_24","DIQ175O_DIQ"
"4924",".","Missing",9441,"9575",NA,"DIQ175O","DIQ_I.htm","DIQ175O_DIQ_.","DIQ175O_DIQ"
"4925","25","Anyone could be at risk",117,"117",NA,"DIQ175P","DIQ_I.htm","DIQ175P_DIQ_25","DIQ175P_DIQ"
"4926",".","Missing",9458,"9575",NA,"DIQ175P","DIQ_I.htm","DIQ175P_DIQ_.","DIQ175P_DIQ"
"4927","26","Doctor warning",136,"136",NA,"DIQ175Q","DIQ_I.htm","DIQ175Q_DIQ_26","DIQ175Q_DIQ"
"4928",".","Missing",9439,"9575",NA,"DIQ175Q","DIQ_I.htm","DIQ175Q_DIQ_.","DIQ175Q_DIQ"
"4929","27","Other, specify",23,"23",NA,"DIQ175R","DIQ_I.htm","DIQ175R_DIQ_27","DIQ175R_DIQ"
"4930",".","Missing",9552,"9575",NA,"DIQ175R","DIQ_I.htm","DIQ175R_DIQ_.","DIQ175R_DIQ"
"4931","28","Gestational diabetes",31,"31",NA,"DIQ175S","DIQ_I.htm","DIQ175S_DIQ_28","DIQ175S_DIQ"
"4932",".","Missing",9544,"9575",NA,"DIQ175S","DIQ_I.htm","DIQ175S_DIQ_.","DIQ175S_DIQ"
"4933","29","Frequent urination",105,"105",NA,"DIQ175T","DIQ_I.htm","DIQ175T_DIQ_29","DIQ175T_DIQ"
"4934",".","Missing",9470,"9575",NA,"DIQ175T","DIQ_I.htm","DIQ175T_DIQ_.","DIQ175T_DIQ"
"4935","30","Thirst",79,"79",NA,"DIQ175U","DIQ_I.htm","DIQ175U_DIQ_30","DIQ175U_DIQ"
"4936",".","Missing",9496,"9575",NA,"DIQ175U","DIQ_I.htm","DIQ175U_DIQ_.","DIQ175U_DIQ"
"4937","31","Craving for sweet/eating a lot of sugar",11,"11",NA,"DIQ175V","DIQ_I.htm","DIQ175V_DIQ_31","DIQ175V_DIQ"
"4938",".","Missing",9564,"9575",NA,"DIQ175V","DIQ_I.htm","DIQ175V_DIQ_.","DIQ175V_DIQ"
"4939","32","Medication",4,"4",NA,"DIQ175W","DIQ_I.htm","DIQ175W_DIQ_32","DIQ175W_DIQ"
"4940",".","Missing",9571,"9575",NA,"DIQ175W","DIQ_I.htm","DIQ175W_DIQ_.","DIQ175W_DIQ"
"4941","33","Polycystic ovarian syndrome",1,"1",NA,"DIQ175X","DIQ_I.htm","DIQ175X_DIQ_33","DIQ175X_DIQ"
"4942",".","Missing",9574,"9575",NA,"DIQ175X","DIQ_I.htm","DIQ175X_DIQ_.","DIQ175X_DIQ"
"4943","1","Yes",2836,"2836",NA,"DIQ180","DIQ_I.htm","DIQ180_DIQ_1","DIQ180_DIQ"
"4944","2","No",3167,"6003",NA,"DIQ180","DIQ_I.htm","DIQ180_DIQ_2","DIQ180_DIQ"
"4945","7","Refused",2,"6005",NA,"DIQ180","DIQ_I.htm","DIQ180_DIQ_7","DIQ180_DIQ"
"4946","9","Don't know",181,"6186",NA,"DIQ180","DIQ_I.htm","DIQ180_DIQ_9","DIQ180_DIQ"
"4947",".","Missing",3389,"9575",NA,"DIQ180","DIQ_I.htm","DIQ180_DIQ_.","DIQ180_DIQ"
"4948","1","Yes",256,"256","","DIQ050","DIQ_I.htm","DIQ050_DIQ_1","DIQ050_DIQ"
"4949","2","No",9316,"9572","DIQ065","DIQ050","DIQ_I.htm","DIQ050_DIQ_2","DIQ050_DIQ"
"4950","7","Refused",1,"9573","DIQ065","DIQ050","DIQ_I.htm","DIQ050_DIQ_7","DIQ050_DIQ"
"4951","9","Don't know",2,"9575","DIQ065","DIQ050","DIQ_I.htm","DIQ050_DIQ_9","DIQ050_DIQ"
"4952",".","Missing",0,"9575","","DIQ050","DIQ_I.htm","DIQ050_DIQ_.","DIQ050_DIQ"
"4953","1 to 55","Range of Values",249,"249",NA,"DID060","DIQ_I.htm","DID060_DIQ_1 to 55","DID060_DIQ"
"4954","666","Less than 1 month",5,"254",NA,"DID060","DIQ_I.htm","DID060_DIQ_666","DID060_DIQ"
"4955","777","Refused",0,"254",NA,"DID060","DIQ_I.htm","DID060_DIQ_777","DID060_DIQ"
"4956","999","Don't know",2,"256",NA,"DID060","DIQ_I.htm","DID060_DIQ_999","DID060_DIQ"
"4957",".","Missing",9319,"9575",NA,"DID060","DIQ_I.htm","DID060_DIQ_.","DID060_DIQ"
"4958","1","Months",30,"30",NA,"DIQ060U","DIQ_I.htm","DIQ060U_DIQ_1","DIQ060U_DIQ"
"4959","2","Years",219,"249",NA,"DIQ060U","DIQ_I.htm","DIQ060U_DIQ_2","DIQ060U_DIQ"
"4960",".","Missing",9326,"9575",NA,"DIQ060U","DIQ_I.htm","DIQ060U_DIQ_.","DIQ060U_DIQ"
"4961","AUCUN","AUCUN",NA,NA,NA,"DIQ065","DIQ_I.htm","DIQ065_DIQ_AUCUN","DIQ065_DIQ"
"4962","1","Yes",643,"643",NA,"DIQ070","DIQ_I.htm","DIQ070_DIQ_1","DIQ070_DIQ"
"4963","2","No",870,"1513",NA,"DIQ070","DIQ_I.htm","DIQ070_DIQ_2","DIQ070_DIQ"
"4964","7","Refused",1,"1514",NA,"DIQ070","DIQ_I.htm","DIQ070_DIQ_7","DIQ070_DIQ"
"4965","9","Don't know",1,"1515",NA,"DIQ070","DIQ_I.htm","DIQ070_DIQ_9","DIQ070_DIQ"
"4966",".","Missing",8060,"9575",NA,"DIQ070","DIQ_I.htm","DIQ070_DIQ_.","DIQ070_DIQ"
"4967","AUCUN","AUCUN",NA,NA,NA,"DIQ229","DIQ_I.htm","DIQ229_DIQ_AUCUN","DIQ229_DIQ"
"4968","1","1 year ago or less",276,"276",NA,"DIQ230","DIQ_I.htm","DIQ230_DIQ_1","DIQ230_DIQ"
"4969","2","More than 1 year ago but no more than 2 years ago",64,"340",NA,"DIQ230","DIQ_I.htm","DIQ230_DIQ_2","DIQ230_DIQ"
"4970","3","More than 2 years ago but no more than 5 years ago",86,"426",NA,"DIQ230","DIQ_I.htm","DIQ230_DIQ_3","DIQ230_DIQ"
"4971","4","More than 5 years ago",85,"511",NA,"DIQ230","DIQ_I.htm","DIQ230_DIQ_4","DIQ230_DIQ"
"4972","5","Never",330,"841",NA,"DIQ230","DIQ_I.htm","DIQ230_DIQ_5","DIQ230_DIQ"
"4973","7","Refused",0,"841",NA,"DIQ230","DIQ_I.htm","DIQ230_DIQ_7","DIQ230_DIQ"
"4974","9","Don't know",12,"853",NA,"DIQ230","DIQ_I.htm","DIQ230_DIQ_9","DIQ230_DIQ"
"4975",".","Missing",8722,"9575",NA,"DIQ230","DIQ_I.htm","DIQ230_DIQ_.","DIQ230_DIQ"
"4976","1","Yes",643,"643","","DIQ240","DIQ_I.htm","DIQ240_DIQ_1","DIQ240_DIQ"
"4977","2","No",210,"853","DID260","DIQ240","DIQ_I.htm","DIQ240_DIQ_2","DIQ240_DIQ"
"4978","7","Refused",0,"853","DID260","DIQ240","DIQ_I.htm","DIQ240_DIQ_7","DIQ240_DIQ"
"4979","9","Don't know",0,"853","DID260","DIQ240","DIQ_I.htm","DIQ240_DIQ_9","DIQ240_DIQ"
"4980",".","Missing",8722,"9575","","DIQ240","DIQ_I.htm","DIQ240_DIQ_.","DIQ240_DIQ"
"4981","1 to 60","Range of Values",627,"627",NA,"DID250","DIQ_I.htm","DID250_DIQ_1 to 60","DID250_DIQ"
"4982","0","None",13,"640",NA,"DID250","DIQ_I.htm","DID250_DIQ_0","DID250_DIQ"
"4983","7777","Refused",0,"640",NA,"DID250","DIQ_I.htm","DID250_DIQ_7777","DID250_DIQ"
"4984","9999","Don't know",3,"643",NA,"DID250","DIQ_I.htm","DID250_DIQ_9999","DID250_DIQ"
"4985",".","Missing",8932,"9575",NA,"DID250","DIQ_I.htm","DID250_DIQ_.","DID250_DIQ"
"4986","1 to 15","Range of Values",661,"661",NA,"DID260","DIQ_I.htm","DID260_DIQ_1 to 15","DID260_DIQ"
"4987","0","Never",188,"849",NA,"DID260","DIQ_I.htm","DID260_DIQ_0","DID260_DIQ"
"4988","777","Refused",0,"849",NA,"DID260","DIQ_I.htm","DID260_DIQ_777","DID260_DIQ"
"4989","999","Don't know",0,"849",NA,"DID260","DIQ_I.htm","DID260_DIQ_999","DID260_DIQ"
"4990",".","Missing",8726,"9575",NA,"DID260","DIQ_I.htm","DID260_DIQ_.","DID260_DIQ"
"4991","1","Per day",412,"412",NA,"DIQ260U","DIQ_I.htm","DIQ260U_DIQ_1","DIQ260U_DIQ"
"4992","2","Per week",150,"562",NA,"DIQ260U","DIQ_I.htm","DIQ260U_DIQ_2","DIQ260U_DIQ"
"4993","3","Per month",65,"627",NA,"DIQ260U","DIQ_I.htm","DIQ260U_DIQ_3","DIQ260U_DIQ"
"4994","4","Per year",34,"661",NA,"DIQ260U","DIQ_I.htm","DIQ260U_DIQ_4","DIQ260U_DIQ"
"4995",".","Missing",8914,"9575",NA,"DIQ260U","DIQ_I.htm","DIQ260U_DIQ_.","DIQ260U_DIQ"
"4996","1","Yes",641,"641","","DIQ275   - Past year Dr checked for A1C","DIQ_I.htm","DIQ275   - Past year Dr checked for A1C_DIQ_1","DIQ275   - Past year Dr checked for A1C_DIQ"
"4997","2","No",156,"797","DIQ295","DIQ275   - Past year Dr checked for A1C","DIQ_I.htm","DIQ275   - Past year Dr checked for A1C_DIQ_2","DIQ275   - Past year Dr checked for A1C_DIQ"
"4998","7","Refused",0,"797","DIQ295","DIQ275   - Past year Dr checked for A1C","DIQ_I.htm","DIQ275   - Past year Dr checked for A1C_DIQ_7","DIQ275   - Past year Dr checked for A1C_DIQ"
"4999","9","Don't know",56,"853","DIQ295","DIQ275   - Past year Dr checked for A1C","DIQ_I.htm","DIQ275   - Past year Dr checked for A1C_DIQ_9","DIQ275   - Past year Dr checked for A1C_DIQ"
"5000",".","Missing",8722,"9575","","DIQ275   - Past year Dr checked for A1C","DIQ_I.htm","DIQ275   - Past year Dr checked for A1C_DIQ_.","DIQ275   - Past year Dr checked for A1C_DIQ"
"5001","2 to 18.5","Range of Values",404,"404",NA,"DIQ280   - What was your last A1C level","DIQ_I.htm","DIQ280   - What was your last A1C level_DIQ_2 to 18.5","DIQ280   - What was your last A1C level_DIQ"
"5002","777","Refused",2,"406",NA,"DIQ280   - What was your last A1C level","DIQ_I.htm","DIQ280   - What was your last A1C level_DIQ_777","DIQ280   - What was your last A1C level_DIQ"
"5003","999","Don't know",235,"641",NA,"DIQ280   - What was your last A1C level","DIQ_I.htm","DIQ280   - What was your last A1C level_DIQ_999","DIQ280   - What was your last A1C level_DIQ"
"5004",".","Missing",8934,"9575",NA,"DIQ280   - What was your last A1C level","DIQ_I.htm","DIQ280   - What was your last A1C level_DIQ_.","DIQ280   - What was your last A1C level_DIQ"
"5005","1","Less than 6",213,"213",NA,"DIQ291   - What does Dr say A1C should be","DIQ_I.htm","DIQ291   - What does Dr say A1C should be_DIQ_1","DIQ291   - What does Dr say A1C should be_DIQ"
"5006","2","Less than 7",182,"395",NA,"DIQ291   - What does Dr say A1C should be","DIQ_I.htm","DIQ291   - What does Dr say A1C should be_DIQ_2","DIQ291   - What does Dr say A1C should be_DIQ"
"5007","3","Less than 8",32,"427",NA,"DIQ291   - What does Dr say A1C should be","DIQ_I.htm","DIQ291   - What does Dr say A1C should be_DIQ_3","DIQ291   - What does Dr say A1C should be_DIQ"
"5008","4","Less than 9",5,"432",NA,"DIQ291   - What does Dr say A1C should be","DIQ_I.htm","DIQ291   - What does Dr say A1C should be_DIQ_4","DIQ291   - What does Dr say A1C should be_DIQ"
"5009","5","Less than 10",9,"441",NA,"DIQ291   - What does Dr say A1C should be","DIQ_I.htm","DIQ291   - What does Dr say A1C should be_DIQ_5","DIQ291   - What does Dr say A1C should be_DIQ"
"5010","6","Provider did not specify goal",88,"529",NA,"DIQ291   - What does Dr say A1C should be","DIQ_I.htm","DIQ291   - What does Dr say A1C should be_DIQ_6","DIQ291   - What does Dr say A1C should be_DIQ"
"5011","77","Refused",2,"531",NA,"DIQ291   - What does Dr say A1C should be","DIQ_I.htm","DIQ291   - What does Dr say A1C should be_DIQ_77","DIQ291   - What does Dr say A1C should be_DIQ"
"5012","99","Don't know",110,"641",NA,"DIQ291   - What does Dr say A1C should be","DIQ_I.htm","DIQ291   - What does Dr say A1C should be_DIQ_99","DIQ291   - What does Dr say A1C should be_DIQ"
"5013",".","Missing",8934,"9575",NA,"DIQ291   - What does Dr say A1C should be","DIQ_I.htm","DIQ291   - What does Dr say A1C should be_DIQ_.","DIQ291   - What does Dr say A1C should be_DIQ"
"5014","AUCUN","AUCUN",NA,NA,NA,"DIQ295","DIQ_I.htm","DIQ295_DIQ_AUCUN","DIQ295_DIQ"
"5015","80 to 201","Range of Values",539,"539",NA,"DIQ300S  - What was your recent SBP","DIQ_I.htm","DIQ300S  - What was your recent SBP_DIQ_80 to 201","DIQ300S  - What was your recent SBP_DIQ"
"5016","7777","Refused",1,"540",NA,"DIQ300S  - What was your recent SBP","DIQ_I.htm","DIQ300S  - What was your recent SBP_DIQ_7777","DIQ300S  - What was your recent SBP_DIQ"
"5017","9999","Don't know",305,"845",NA,"DIQ300S  - What was your recent SBP","DIQ_I.htm","DIQ300S  - What was your recent SBP_DIQ_9999","DIQ300S  - What was your recent SBP_DIQ"
"5018",".","Missing",8730,"9575",NA,"DIQ300S  - What was your recent SBP","DIQ_I.htm","DIQ300S  - What was your recent SBP_DIQ_.","DIQ300S  - What was your recent SBP_DIQ"
"5019","17 to 251","Range of Values",515,"515",NA,"DIQ300D  - What was your recent DBP","DIQ_I.htm","DIQ300D  - What was your recent DBP_DIQ_17 to 251","DIQ300D  - What was your recent DBP_DIQ"
"5020","7777","Refused",2,"517",NA,"DIQ300D  - What was your recent DBP","DIQ_I.htm","DIQ300D  - What was your recent DBP_DIQ_7777","DIQ300D  - What was your recent DBP_DIQ"
"5021","9999","Don't know",328,"845",NA,"DIQ300D  - What was your recent DBP","DIQ_I.htm","DIQ300D  - What was your recent DBP_DIQ_9999","DIQ300D  - What was your recent DBP_DIQ"
"5022",".","Missing",8730,"9575",NA,"DIQ300D  - What was your recent DBP","DIQ_I.htm","DIQ300D  - What was your recent DBP_DIQ_.","DIQ300D  - What was your recent DBP_DIQ"
"5023","80 to 175","Range of Values",336,"336",NA,"DID310S  - What does Dr say SBP should be","DIQ_I.htm","DID310S  - What does Dr say SBP should be_DIQ_80 to 175","DID310S  - What does Dr say SBP should be_DIQ"
"5024","6666","Provider did not specify goal",308,"644",NA,"DID310S  - What does Dr say SBP should be","DIQ_I.htm","DID310S  - What does Dr say SBP should be_DIQ_6666","DID310S  - What does Dr say SBP should be_DIQ"
"5025","7777","Refused",2,"646",NA,"DID310S  - What does Dr say SBP should be","DIQ_I.htm","DID310S  - What does Dr say SBP should be_DIQ_7777","DID310S  - What does Dr say SBP should be_DIQ"
"5026","9999","Don't know",200,"846",NA,"DID310S  - What does Dr say SBP should be","DIQ_I.htm","DID310S  - What does Dr say SBP should be_DIQ_9999","DID310S  - What does Dr say SBP should be_DIQ"
"5027",".","Missing",8729,"9575",NA,"DID310S  - What does Dr say SBP should be","DIQ_I.htm","DID310S  - What does Dr say SBP should be_DIQ_.","DID310S  - What does Dr say SBP should be_DIQ"
"5028","18 to 140","Range of Values",315,"315",NA,"DID310D  - What does Dr say DBP should be","DIQ_I.htm","DID310D  - What does Dr say DBP should be_DIQ_18 to 140","DID310D  - What does Dr say DBP should be_DIQ"
"5029","6666","Provider did not specify goal",308,"623",NA,"DID310D  - What does Dr say DBP should be","DIQ_I.htm","DID310D  - What does Dr say DBP should be_DIQ_6666","DID310D  - What does Dr say DBP should be_DIQ"
"5030","7777","Refused",2,"625",NA,"DID310D  - What does Dr say DBP should be","DIQ_I.htm","DID310D  - What does Dr say DBP should be_DIQ_7777","DID310D  - What does Dr say DBP should be_DIQ"
"5031","9999","Don't know",221,"846",NA,"DID310D  - What does Dr say DBP should be","DIQ_I.htm","DID310D  - What does Dr say DBP should be_DIQ_9999","DID310D  - What does Dr say DBP should be_DIQ"
"5032",".","Missing",8729,"9575",NA,"DID310D  - What does Dr say DBP should be","DIQ_I.htm","DID310D  - What does Dr say DBP should be_DIQ_.","DID310D  - What does Dr say DBP should be_DIQ"
