"","code","libel"
"910","LBXGLT_OGTT","Two Hour Glucose (OGTT) (mg/dL)"
"911","LBDGLTSI_OGTT","Two Hour Glucose (OGTT) (mmol/L)"
"912","GTDSCMMN_OGTT","Glucose challenge Administer Time in min"
"913","GTDDR1MN_OGTT","Time from fast glucose & challenge(min) "
"914","GTDBL2MN_OGTT","Time from fasting glucose & OGTT (min)"
"915","GTDDR2MN_OGTT","Time from glucose challenge & OGTT(min)"
"916","GTXDRANK_OGTT","Amount of glucose challenge drank"
"917","GTDCODE_OGTT","Incomplete OGTT Comment Code"
"918","SEQN_PFAS","Respondent sequence number"
"919","WTSB2YR_PFAS","Subsample B weights"
"920","LBXPFDE_PFAS","Perfluorodecanoic acid (ng/mL)"
"921","LBDPFDEL_PFAS","Perfluorodecanoic acid Comment Code"
"922","LBXPFHS_PFAS","Perfluorohexane sulfonic acid (ng/mL)"
"923","LBDPFHSL_PFAS","Perfluorohexane sulfonic acid Comt Code"
"924","LBXMPAH_PFAS","PFOSA)acetic acid (ng/mL)"
"925","LBDMPAHL_PFAS","PFOSA) acetic acid Comt Code"
"926","LBXPFNA_PFAS","Perfluorononanoic acid (ng/mL)"
"927","LBDPFNAL_PFAS","Perfluorononanoic acid Comment Code"
"928","LBXPFUA_PFAS","Perfluoroundecanoic acid (ng/mL)"
"929","LBDPFUAL_PFAS","Perfluoroundecanoic acid Comment Code"
"930","LBXPFDO_PFAS","Perfluorododecanoic acid (ng/mL)"
"931","LBDPFDOL_PFAS","Perfluorododecanoic acid comment"
"932","LBXNFOA_PFAS","perfluorooctanoic acid (ng/mL)"
"933","LBDNFOAL_PFAS","perfluorooctanoic acid Comment Code"
"934","LBXBFOA_PFAS","Br. perfluorooctanoic acid iso (ng/mL)"
"935","LBDBFOAL_PFAS","Br. perfluorooctanoic acid iso Comt Code"
"936","LBXNFOS_PFAS","perfluorooctane sulfonic acid (ng/mL)"
"937","LBDNFOSL_PFAS","perfluorooctane sulfonic Comt Code"
"938","LBXMFOS_PFAS","PFOS (ng/mL)"
"939","LBDMFOSL_PFAS","PFOS Comment Code"
"940","SEQN_PHTHTE","Respondent sequence number"
"941","WTSB2YR_PHTHTE","year weights"
"942","URXCNP_PHTHTE","Mono(carboxynonyl) Phthalate (ng/mL)"
"943","URDCNPLC_PHTHTE","Mono(carboxynonyl) Phthalate cmt code"
"944","URXCOP_PHTHTE","Mono(carboxyoctyl) Phthalate (ng/mL)"
"945","URDCOPLC_PHTHTE","Mono(carboxyoctyl) phthalate cmt code"
"946","URXECP_PHTHTE","MECP phthalate (ng/mL)"
"947","URDECPLC_PHTHTE","MECP phthalate comment code"
"948","URXHIBP_PHTHTE","MHIBP phthalate (ng/mL)"
"949","URDHIBLC_PHTHTE","MHIBP phthalate Comment Code "
"950","URXMBP_PHTHTE","butyl phthalate (ng/mL)"
"951","URDMBPLC_PHTHTE","butyl phthalate comment code"
"952","URXMC1_PHTHTE","carboxypropyl) phthalate (ng/mL)"
"953","URDMC1LC_PHTHTE","carboxypropyl) phthalate cmt"
"954","URXMCOH_PHTHTE","MCOCH phthalate (ng/mL)"
"955","URDMCOLC_PHTHTE","MCOCH phthalate Comment Code"
"956","URXMEP_PHTHTE","ethyl phthalate (ng/mL)"
"957","URDMEPLC_PHTHTE","ethyl phthalate comment code"
"958","URXMHBP_PHTHTE","butyl phthalate (ng/mL)"
"959","URDMHBLC_PHTHTE","MHBP phthalate Comment Code"
"960","URXMHH_PHTHTE","MEHP phthalate (ng/mL)"
"961","URDMHHLC_PHTHTE","MEHP phthalate comment code"
"962","URXMHNC_PHTHTE","MHNCH (ng/mL)"
"963","URDMCHLC_PHTHTE","MHNCH comment code"
"964","URXMHP_PHTHTE","hexyl phthalate (ng/mL)"
"965","URDMHPLC_PHTHTE","hexyl phthalate cmt code"
"966","URXMIB_PHTHTE","isobutyl phthalate (ng/mL)"
"967","URDMIBLC_PHTHTE","isobutyl phthalate comment code"
"968","URXMNP_PHTHTE","isononyl phthalate (ng/mL)"
"969","URDMNPLC_PHTHTE","isononyl phthalate comment code"
"970","URXMOH_PHTHTE","MEOH phthalate (ng/mL)"
"971","URDMOHLC_PHTHTE","MEOH phthalate comment code"
"972","URXMZP_PHTHTE","benzyl phthalate (ng/mL)"
"973","URDMZPLC_PHTHTE","benzyl phthalate comment code"
"974","SEQN_GLU","Respondent sequence number"
"975","WTSAF2YR_GLU","Fasting Subsample 2 Year MEC Weight"
"976","LBXGLU_GLU","Fasting Glucose (mg/dL)"
"977","LBDGLUSI_GLU","Fasting Glucose (mmol/L)"
"978","SEQN_UCPREG","Respondent sequence number"
"979","URXPREG_UCPREG","Urine Pregnancy Result"
"980","SEQN_TST","Respondent sequence number"
"981","LBXTST_TST","Testosterone, total (ng/dL)"
"982","LBDTSTLC_TST","Testosterone comment code"
"983","LBXEST_TST","Estradiol (pg/mL)"
"984","LBDESTLC_TST","Estradiol Comment Code"
"985","LBXSHBG_TST","SHBG (nmol/L)"
"986","LBDSHGLC_TST","SHBG Comment Code"
"987","SEQN_UASS","Respondent sequence number"
"988","WTFSM_UASS","Two year smoking weights"
"989","URXUAS3_UASS","Urinary Arsenous acid (ug/L)"
"990","URDUA3LC_UASS","Urinary Arsenous acid comment code"
"991","URXUAS5_UASS","Urinary Arsenic acid (ug/L)"
"992","URDUA5LC_UASS","Urinary Arsenic acid comment code"
"993","URXUAB_UASS","Urinary Arsenobetaine (ug/L)"
"994","URDUABLC_UASS","Urinary Arsenobetaine comment code"
"995","URXUAC_UASS","Urinary Arsenocholine (ug/L)"
"996","URDUACLC_UASS","Urinary Arsenocholine comment code"
"997","URXUDMA_UASS","Urinary Dimethylarsinic acid (ug/L)"
"998","URDUDALC_UASS","Urinary Dimethylarsonic acid coment code"
"999","URXUMMA_UASS","Urinary Monomethylacrsonic acid (ug/L)"
"1000","URDUMMAL_UASS","Urinary MMA acid comment code"
"1001","SEQN_UAS","Respondent sequence number"
"1002","WTSA2YR_UAS","Subsample A weights"
"1003","URXUAS3_UAS","Urinary Arsenous acid (ug/L)"
"1004","URDUA3LC_UAS","Urinary Arsenous acid comment code"
"1005","URXUAS5_UAS","Urinary Arsenic acid (ug/L)"
"1006","URDUA5LC_UAS","Urinary Arsenic acid comment code"
"1007","URXUAB_UAS","Urinary Arsenobetaine (ug/L)"
"1008","URDUABLC_UAS","Urinary Arsenobetaine comment code"
"1009","URXUAC_UAS","Urinary Arsenocholine (ug/L)"
"1010","URDUACLC_UAS","Urinary Arsenocholine comment code"
"1011","URXUDMA_UAS","Urinary Dimethylarsinic acid (ug/L)"
"1012","URDUDALC_UAS","Urinary Dimethylarsonic acid comment"
"1013","URXUMMA_UAS","Urinary Monomethylacrsonic acid (ug/L)"
"1014","URDUMMAL_UAS","Urinary Monomethylacrsonic acid comment "
"1015","SEQN_BIOPRO","Respondent sequence number"
"1016","LBXSAL_BIOPRO","Albumin, refrigerated serum (g/dL)"
"1017","LBDSALSI_BIOPRO","Albumin, refrigerated serum (g/L)"
"1018","LBXSAPSI_BIOPRO","Alkaline Phosphatase (ALP) (IU/L)"
"1019","LBXSASSI_BIOPRO","Aspartate Aminotransferase (AST) (IU/L)"
"1020","LBXSATSI_BIOPRO","Alanine Aminotransferase (ALT) (IU/L)"
"1021","LBXSBU_BIOPRO","Blood Urea Nitrogen (mg/dL)"
"1022","LBDSBUSI_BIOPRO","Blood Urea Nitrogen (mmol/L)"
"1023","LBXSC3SI_BIOPRO","Bicarbonate (mmol/L)"
"1024","LBXSCA_BIOPRO","Total Calcium (mg/dL)"
"1025","LBDSCASI_BIOPRO","Total Calcium (mmol/L)"
"1026","LBXSCH_BIOPRO","Cholesterol, refrigerated serum (mg/dL)"
"1027","LBDSCHSI_BIOPRO","Cholesterol, refrigerated serum (mmol/L)"
"1028","LBXSCK_BIOPRO","Creatine Phosphokinase (CPK) (IU/L)"
"1029","LBXSCLSI_BIOPRO","Chloride (mmol/L)"
"1030","LBXSCR_BIOPRO","Creatinine, refrigerated serum (mg/dL)"
"1031","LBDSCRSI_BIOPRO","Creatinine, refrigerated serum (umol/L)"
"1032","LBXSGB_BIOPRO","Globulin (g/dL)"
"1033","LBDSGBSI_BIOPRO","Globulin (g/L)"
"1034","LBXSGL_BIOPRO","Glucose, refrigerated serum (mg/dL)"
"1035","LBDSGLSI_BIOPRO","Glucose, refrigerated serum (mmol/L)"
"1036","LBXSGTSI_BIOPRO","Gamma Glutamyl Transferase (GGT) (U/L)"
"1037","LBXSIR_BIOPRO","Iron, refrigerated serum (ug/dL)"
"1038","LBDSIRSI_BIOPRO","Iron, refrigerated serum (umol/L)"
"1039","LBXSKSI_BIOPRO","Potassium (mmol/L)"
"1040","LBXSLDSI_BIOPRO","Lactate Dehydrogenase (LDH) (U/L)"
"1041","LBXSNASI_BIOPRO","Sodium (mmol/L)"
"1042","LBXSOSSI_BIOPRO","Osmolality (mmol/Kg)"
"1043","LBXSPH_BIOPRO","Phosphorus (mg/dL)"
"1044","LBDSPHSI_BIOPRO","Phosphorus (mmol/L)"
"1045","LBXSTB_BIOPRO","Total Bilirubin (mg/dL)"
"1046","LBDSTBSI_BIOPRO","Total Bilirubin (umol/L)"
"1047","LBXSTP_BIOPRO","Total Protein (g/dL)"
"1048","LBDSTPSI_BIOPRO","Total Protein (g/L)"
"1049","LBXSTR_BIOPRO","Triglycerides, refrig serum (mg/dL)"
"1050","LBDSTRSI_BIOPRO","Triglycerides, refrig serum (mmol/L)"
"1051","LBXSUA_BIOPRO","Uric acid (mg/dL)"
"1052","LBDSUASI_BIOPRO","Uric acid (umol/L)"
"1053","SEQN_TRICH","Respondent sequence number"
"1054","URXUTRI_TRICH","Trichomonas, Urine"
"1055","SEQN_UCFLOW","Respondent sequence number"
"1056","URXVOL1_UCFLOW","The volume of urine collection #1 (mL)"
"1057","URDFLOW1_UCFLOW","Urine #1 Flow Rate (mL/min)"
"1058","URDTIME1_UCFLOW","Minutes b/w last urination  & urine # 1"
"1059","URXVOL2_UCFLOW","The volume of urine collection #2 (mL)"
"1060","URDFLOW2_UCFLOW","Urine #2 Flow Rate (mL/min)"
"1061","URDTIME2_UCFLOW","Minutes b/w urine # 1 & urine # 2"
"1062","URXVOL3_UCFLOW","The volume of urine collection #3 (mL)"
"1063","URDFLOW3_UCFLOW","Urine #3 Flow Rate (mL/min)"
"1064","URDTIME3_UCFLOW","Minutes b/w urine # 2 & urine # 3"
"1065","SEQN_UVOC","Respondent Sequence Number"
"1066","WTSA2YR_UVOC","Subsample A Weights"
"1067","URX1DC_UVOC","cys(ng/mL)"
"1068","URD1DCLC_UVOC","cys comt"
"1069","URX2DC_UVOC","cys(ng/mL)"
"1070","URD2DCLC_UVOC","cys comt"
"1071","URX2MH_UVOC","methylhippuric acid (ng/mL)"
"1072","URD2MHLC_UVOC","methylhippuric acid comment code"
"1073","URX34M_UVOC","methipurc acd(ng/mL)"
"1074","URD34MLC_UVOC","methipurc acid comt"
"1075","URXAAM_UVOC","cys(ng/mL)"
"1076","URDAAMLC_UVOC","cys comt"
"1077","URXAMC_UVOC","cys(ng/mL)"
"1078","URDAMCLC_UVOC","cys comt"
"1079","URXATC_UVOC","carbxylic acid(ng/mL)"
"1080","URDATCLC_UVOC","carbxylic acid comt"
"1081","URXBMA_UVOC","cysteine(ng/mL)"
"1082","URDBMALC_UVOC","cysteine comt"
"1083","URXBPM_UVOC","cysteine(ng/mL)"
"1084","URDBPMLC_UVOC","cysteine comt"
"1085","URXCEM_UVOC","cys(ng/mL)"
"1086","URDCEMLC_UVOC","cys comt"
"1087","URXCYHA_UVOC","CYHA cysteine (ng/mL) "
"1088","URDCYALC_UVOC","CYHA cysteine comment code"
"1089","URXCYM_UVOC","cyst(ng/mL)"
"1090","URDCYMLC_UVOC","cyst comt"
"1091","URXDHB_UVOC","cys(ng/mL)"
"1092","URDDHBLC_UVOC","cys comt"
"1093","URXDPM_UVOC","cys(ng/mL)"
"1094","URDDPMLC_UVOC","cys comt"
"1095","URXGAM_UVOC","cys(ng/mL)"
"1096","URDGAMLC_UVOC","cys comt"
"1097","URXHEM_UVOC","cys(ng/mL)"
"1098","URDHEMLC_UVOC","cys comt"
"1099","URXHP2_UVOC","cys(ng/mL)"
"1100","URDHP2LC_UVOC","cys comt"
"1101","URXHPM_UVOC","cys(ng/mL)"
"1102","URDHPMLC_UVOC","cys comt"
"1103","URXIPM1_UVOC","IPM1 cysteine (ng/mL)"
"1104","URDPM1LC_UVOC","IPM1 cysteine comment code"
"1105","URXIPM3_UVOC","IPM3 cysteine (ng/mL)"
"1106","URDPM3LC_UVOC","IPM3 cysteine comment code"
"1107","URXMAD_UVOC","Mandelic acid(ng/mL)"
"1108","URDMADLC_UVOC","Mandelic acid comment code"
"1109","URXMB1_UVOC","cys(ng/mL)"
"1110","URDMB1LC_UVOC","cys comt"
"1111","URXMB2_UVOC","cys(ng/mL)"
"1112","URDMB2LC_UVOC","cys comt"
"1113","URXMB3_UVOC","cys(ng/mL)"
"1114","URDMB3LC_UVOC","cys comt"
"1115","URXPHE_UVOC","cys(ng/mL)"
"1116","URDPHELC_UVOC","cys comt"
"1117","URXPHG_UVOC","Phenylglyoxylic acid(ng/mL)"
"1118","URDPHGLC_UVOC","Phenylglyoxylic acid comment code"
"1119","URXPMA_UVOC","cysteine(ng/mL)"
"1120","URDPMALC_UVOC","cysteine comt"
"1121","URXPMM_UVOC","cys(ng/mL)"
"1122","URDPMMLC_UVOC","cys comt"
"1123","URXTCV_UVOC","cys(ng/mL)"
"1124","URDTCVLC_UVOC","cys comt"
"1125","SEQN_UVOCS","Respondent Sequence Number"
"1126","WTFSM_UVOCS","Two Year Smoking Weights"
"1127","URX1DC_UVOCS","cys(ng/mL)"
"1128","URD1DCLC_UVOCS","cys comt"
"1129","URX2DC_UVOCS","cys(ng/mL)"
"1130","URD2DCLC_UVOCS","cys comt"
"1131","URX2MH_UVOCS","methylhippuric acid (ng/mL)"
"1132","URD2MHLC_UVOCS","methylhippuric acid comment code"
"1133","URX34M_UVOCS","methipurc acd(ng/mL)"
"1134","URD34MLC_UVOCS","methipurc acid comt"
"1135","URXAAM_UVOCS","cys(ng/mL)"
"1136","URDAAMLC_UVOCS","cys comt"
"1137","URXAMC_UVOCS","cys(ng/mL)"
"1138","URDAMCLC_UVOCS","cys comt"
"1139","URXATC_UVOCS","carbxylic acid(ng/mL)"
"1140","URDATCLC_UVOCS","carbxylic acid comt"
"1141","URXBMA_UVOCS","cysteine(ng/mL)"
"1142","URDBMALC_UVOCS","cysteine comt"
"1143","URXBPM_UVOCS","cysteine(ng/mL)"
"1144","URDBPMLC_UVOCS","cysteine comt"
"1145","URXCEM_UVOCS","cys(ng/mL)"
"1146","URDCEMLC_UVOCS","cys comt"
"1147","URXCYHA_UVOCS","CYHA cysteine (ng/mL)"
"1148","URDCYALC_UVOCS","CYHA cysteine comment code"
"1149","URXCYM_UVOCS","cyst(ng/mL)"
"1150","URDCYMLC_UVOCS","cyst comt"
"1151","URXDHB_UVOCS","cys(ng/mL)"
"1152","URDDHBLC_UVOCS","cys comt"
"1153","URXDPM_UVOCS","cys(ng/mL)"
"1154","URDDPMLC_UVOCS","cys comt"
"1155","URXGAM_UVOCS","cys(ng/mL)"
"1156","URDGAMLC_UVOCS","cys comt"
"1157","URXHEM_UVOCS","cys(ng/mL)"
"1158","URDHEMLC_UVOCS","cys comt"
"1159","URXHP2_UVOCS","cys(ng/mL)"
"1160","URDHP2LC_UVOCS","cys comt"
"1161","URXHPM_UVOCS","cys(ng/mL)"
"1162","URDHPMLC_UVOCS","cys comt"
"1163","URXIPM1_UVOCS","IPM1 cysteine (ng/mL)"
"1164","URDPM1LC_UVOCS","IPM1 cysteine comment code"
"1165","URXIPM3_UVOCS","IPM3 cysteine (ng/mL)"
"1166","URDPM3LC_UVOCS","IPM3 cysteine comment code"
"1167","URXMAD_UVOCS","Mandelic acid(ng/mL)"
"1168","URDMADLC_UVOCS","Mandelic acid comment code"
"1169","URXMB1_UVOCS","cys(ng/mL)"
"1170","URDMB1LC_UVOCS","cys comt"
"1171","URXMB2_UVOCS","cys(ng/mL)"
"1172","URDMB2LC_UVOCS","cys comt"
"1173","URXMB3_UVOCS","cys(ng/mL)"
"1174","URDMB3LC_UVOCS","cys comt"
"1175","URXPHE_UVOCS","cys(ng/mL)"
"1176","URDPHELC_UVOCS","cys comt"
"1177","URXPHG_UVOCS","Phenylglyoxylic acid(ng/mL)"
"1178","URDPHGLC_UVOCS","Phenylglyoxylic acid comment code"
"1179","URXPMA_UVOCS","cysteine(ng/mL)"
"1180","URDPMALC_UVOCS","cysteine comt"
"1181","URXPMM_UVOCS","cys(ng/mL)"
"1182","URDPMMLC_UVOCS","cys comt"
"1183","URXTCV_UVOCS","cys(ng/mL)"
"1184","URDTCVLC_UVOCS","cys comt"
"1185","SEQN_VOCWB","Respondent sequence number"
"1186","WTSVOC2Y_VOCWB","VOC Subsample Weight"
"1187","LBX2DF_VOCWB","Dimethylfuran (ng/mL)"
"1188","LBD2DFLC_VOCWB","Dimethylfuran Comment Code"
"1189","LBX4CE_VOCWB","Tetrachloroethane (ng/mL)"
"1190","LBD4CELC_VOCWB","Tetrachloroethane Cmt Code"
"1191","LBXV06_VOCWB","Blood Hexane (ng/mL)"
"1192","LBDV06LC_VOCWB","Blood Hexane Comment Code"
"1193","LBXV07N_VOCWB","Blood Heptane (ng/mL)"
"1194","LBDV07LC_VOCWB","Blood Heptane Comment Code"
"1195","LBXV08N_VOCWB","Blood Octane (ng/mL)"
"1196","LBDV08LC_VOCWB","Blood Octane Comment Code"
"1197","LBXV1D_VOCWB","Dichlorobenzene (ng/mL)"
"1198","LBDV1DLC_VOCWB","Dichlorobenzene Comment Code "
"1199","LBXV2A_VOCWB","Dichloroethane (ng/mL)"
"1200","LBDV2ALC_VOCWB","Dichloroethane Comment Code"
"1201","LBXV3B_VOCWB","Dichlorobenzene (ng/mL)"
"1202","LBDV3BLC_VOCWB","Dichlorobenzene Comment Code"
"1203","LBXV4C_VOCWB","Blood Tetrachloroethene (ng/mL)"
"1204","LBDV4CLC_VOCWB","Blood Tetrachloroethene Comment Code"
"1205","LBXVBF_VOCWB","Blood Bromoform (ng/mL)"
"1206","LBDVBFLC_VOCWB","Blood Bromoform Comment Code"
"1207","LBXVBM_VOCWB","Blood Bromodichloromethane (ng/mL)"
"1208","LBDVBMLC_VOCWB","Blood Bromodichloromethane Comment Code"
"1209","LBXVBZ_VOCWB","Blood Benzene (ng/mL)"
"1210","LBDVBZLC_VOCWB","Blood Benzene Comment Code"
"1211","LBXVBZN_VOCWB","Blood Benzonitrile (ng/mL)"
"1212","LBDVZBLC_VOCWB","Blood Benzonitrile Comment Code"
"1213","LBXVC6_VOCWB","Blood Cyclohexane (ng/mL)"
"1214","LBDVC6LC_VOCWB","Blood Cyclohexane Comment Code"
"1215","LBXVCB_VOCWB","Blood Chlorobenzene (ng/mL)"
"1216","LBDVCBLC_VOCWB","Blood Chlorobenzene Comment Code"
"1217","LBXVCF_VOCWB","Blood Chloroform (ng/mL)"
"1218","LBDVCFLC_VOCWB","Blood Chloroform Comment Code"
"1219","LBXVCM_VOCWB","Blood Dibromochloromethane (ng/mL)"
"1220","LBDVCMLC_VOCWB","Blood Dibromochloromethane Comment Code"
"1221","LBXVCT_VOCWB","Blood Carbon Tetrachloride (ng/mL)"
"1222","LBDVCTLC_VOCWB","Blood Carbon Tetrachloride Comment Code"
"1223","LBXVDB_VOCWB","Dichlorobenzene (ng/mL)"
"1224","LBDVDBLC_VOCWB","Dichlorobenzene Comment Code"
"1225","LBXVDE_VOCWB","Dibromoethane (ng/mL)"
"1226","LBDVDELC_VOCWB","Dibromoethane Comment Code"
"1227","LBXVDEE_VOCWB","Blood Diethyl Ether (ng/mL)"
"1228","LBDVEELC_VOCWB","Blood Diethyl Ether Comment Code"
"1229","LBXVDX_VOCWB","Dioxane (ng/mL)"
"1230","LBDVDXLC_VOCWB","Dioxane Comment Code"
"1231","LBXVEA_VOCWB","Blood Ethyl Acetate (ng/mL)"
"1232","LBDVEALC_VOCWB","Blood Ethyl Acetate Comment Code"
"1233","LBXVEB_VOCWB","Blood Ethylbenzene (ng/mL)"
"1234","LBDVEBLC_VOCWB","Blood Ethylbenzene Comment Code"
"1235","LBXVEC_VOCWB","Blood Chloroethane (ng/mL)"
"1236","LBDVECLC_VOCWB","Blood Chloroethane Comment Code"
"1237","LBXVFN_VOCWB","Blood Furan (ng/mL)"
"1238","LBDVFNLC_VOCWB","Blood Furan Comment Code"
"1239","LBXVIBN_VOCWB","Blood Isobutyronitrile (ng/mL)"
"1240","LBDVIBLC_VOCWB","Blood Isobutyronitrile Comment Code"
"1241","LBXVIPB_VOCWB","Blood Isopropylbenzene (ng/mL)"
"1242","LBDVIPLC_VOCWB","Blood Isopropylbenzene Comment Code"
"1243","LBXVMC_VOCWB","Blood Methylene Chloride (ng/mL)"
"1244","LBDVMCLC_VOCWB","Blood Methylene Chloride Comment Code"
"1245","LBXVME_VOCWB","Blood MTBE (ng/mL)"
"1246","LBDVMELC_VOCWB","Blood MTBE Comment Code"
"1247","LBXVMCP_VOCWB","Blood Methylcyclopentane (ng/mL)"
"1248","LBDVMPLC_VOCWB","Blood Methylcyclopentane Comment Code"
"1249","LBXVNB_VOCWB","Blood Nitrobenzene (ng/mL)"
"1250","LBDVNBLC_VOCWB","Blood Nitrobenzene Comment Code"
"1251","LBXVOX_VOCWB","Xylene (ng/mL)"
"1252","LBDVOXLC_VOCWB","Xylene Comment Code"
"1253","LBXVTC_VOCWB","Blood Trichloroethene (ng/mL)"
"1254","LBDVTCLC_VOCWB","Blood Trichloroethene Comment Code"
"1255","LBXVTE_VOCWB","Trichloroethane (ng/mL)"
"1256","LBDVTELC_VOCWB","Trichloroethane Comment Code"
"1257","LBXVTFT_VOCWB","Trifluorotoluene (ng/mL)"
"1258","LBDVFTLC_VOCWB","Trifluorotoluene Comment Code"
"1259","LBXVTHF_VOCWB","Blood Tetrahydrofuran (ng/mL)"
"1260","LBDVHTLC_VOCWB","Blood Tetrahydrofuran Comment Code"
"1261","LBXVTO_VOCWB","Blood Toluene (ng/mL)"
"1262","LBDVTOLC_VOCWB","Blood Toluene Comment Code"
"1263","LBXVTP_VOCWB","Trichloropropane (ng/mL)"
"1264","LBDVTPLC_VOCWB","Trichloropropane Comt Code"
"1265","LBXVVB_VOCWB","Blood Vinyl Bromide (ng/mL)"
"1266","LBDVVBLC_VOCWB","Blood Vinyl Bromide Comment Code"
"1267","LBXVXY_VOCWB","Xylene (ng/mL)"
"1268","LBDVXYLC_VOCWB","Xylene Comment Code"
"1269","SEQN_VOCWBS","Respondent sequence number"
"1270","WTSVS2YR_VOCWBS","VOC Smoking Subsample Weight"
"1271","LBX2DF_VOCWBS","Dimethylfuran (ng/mL)"
"1272","LBD2DFLC_VOCWBS","Dimethylfuran Comment Code"
"1273","LBX4CE_VOCWBS","Tetrachloroethane (ng/mL)"
"1274","LBD4CELC_VOCWBS","Tetrachloroethane Cmt 
    Code"
"1275","LBXV06_VOCWBS","Blood Hexane (ng/mL)"
"1276","LBDV06LC_VOCWBS","Blood Hexane Comment Code"
"1277","LBXV07N_VOCWBS","Blood Heptane (ng/mL)"
"1278","LBDV07LC_VOCWBS","Blood Heptane Comment Code"
"1279","LBXV08N_VOCWBS","Blood Octane (ng/mL)"
"1280","LBDV08LC_VOCWBS","Blood Octane Comment Code"
"1281","LBXV1D_VOCWBS","Dichlorobenzene (ng/mL)"
"1282","LBDV1DLC_VOCWBS","Dichlorobenzene Comment 
    Code"
"1283","LBXV2A_VOCWBS","Dichloroethane (ng/mL)"
"1284","LBDV2ALC_VOCWBS","Dichloroethane Comment Code"
"1285","LBXV3B_VOCWBS","Dichlorobenzene (ng/mL)"
"1286","LBDV3BLC_VOCWBS","Dichlorobenzene Comment 
    Code"
"1287","LBXV4C_VOCWBS","Blood Tetrachloroethene (ng/mL)"
"1288","LBDV4CLC_VOCWBS","Blood Tetrachloroethene Comment Code"
"1289","LBXVBF_VOCWBS","Blood Bromoform (ng/mL)"
"1290","LBDVBFLC_VOCWBS","Blood Bromoform Comment Code"
"1291","LBXVBM_VOCWBS","Blood Bromodichloromethane (ng/mL)"
"1292","LBDVBMLC_VOCWBS","Blood Bromodichloromethane Comment 
    Code"
"1293","LBXVBZ_VOCWBS","Blood Benzene (ng/mL)"
"1294","LBDVBZLC_VOCWBS","Blood Benzene Comment Code"
"1295","LBXVBZN_VOCWBS","Blood Benzonitrile (ng/mL)"
"1296","LBDVZBLC_VOCWBS","Blood Benzonitrile Comment Code"
"1297","LBXVC6_VOCWBS","Blood Cyclohexane (ng/mL)"
"1298","LBDVC6LC_VOCWBS","Blood Cyclohexane Comment Code"
"1299","LBXVCB_VOCWBS","Blood Chlorobenzene (ng/mL)"
"1300","LBDVCBLC_VOCWBS","Blood Chlorobenzene Comment Code"
"1301","LBXVCF_VOCWBS","Blood Chloroform (ng/mL)"
"1302","LBDVCFLC_VOCWBS","Blood Chloroform Comment Code"
"1303","LBXVCM_VOCWBS","Blood Dibromochloromethane (ng/mL)"
"1304","LBDVCMLC_VOCWBS","Blood Dibromochloromethane Comment 
    Code"
"1305","LBXVCT_VOCWBS","Blood Carbon Tetrachloride (ng/mL)"
"1306","LBDVCTLC_VOCWBS","Blood Carbon Tetrachloride Comment 
    Code"
"1307","LBXVDB_VOCWBS","Dichlorobenzene (ng/mL)"
"1308","LBDVDBLC_VOCWBS","Dichlorobenzene Comment 
    Code"
"1309","LBXVDE_VOCWBS","Dibromoethane (ng/mL)"
"1310","LBDVDELC_VOCWBS","Dibromoethane Comment Code"
"1311","LBXVDEE_VOCWBS","Blood Diethyl Ether (ng/mL)"
"1312","LBDVEELC_VOCWBS","Blood Diethyl Ether Comment Code"
"1313","LBXVDX_VOCWBS","Dioxane (ng/mL)"
"1314","LBDVDXLC_VOCWBS","Dioxane Comment Code"
"1315","LBXVEA_VOCWBS","Blood Ethyl Acetate (ng/mL)"
"1316","LBDVEALC_VOCWBS","Blood Ethyl Acetate Comment Code"
"1317","LBXVEB_VOCWBS","Blood Ethylbenzene (ng/mL)"
"1318","LBDVEBLC_VOCWBS","Blood Ethylbenzene Comment Code"
"1319","LBXVEC_VOCWBS","Blood Chloroethane (ng/mL)"
"1320","LBDVECLC_VOCWBS","Blood Chloroethane Comment Code"
"1321","LBXVFN_VOCWBS","Blood Furan (ng/mL)"
"1322","LBDVFNLC_VOCWBS","Blood Furan Comment Code"
"1323","LBXVIBN_VOCWBS","Blood Isobutyronitrile (ng/mL)"
"1324","LBDVIBLC_VOCWBS","Blood Isobutyronitrile Comment Code"
"1325","LBXVIPB_VOCWBS","Blood Isopropylbenzene (ng/mL)"
"1326","LBDVIPLC_VOCWBS","Blood Isopropylbenzene Comment Code"
"1327","LBXVMC_VOCWBS","Blood Methylene Chloride (ng/mL)"
"1328","LBDVMCLC_VOCWBS","Blood Methylene Chloride Comment Code"
"1329","LBXVME_VOCWBS","Blood MTBE (ng/mL)"
"1330","LBDVMELC_VOCWBS","Blood MTBE Comment Code"
"1331","LBXVMCP_VOCWBS","Blood Methylcyclopentane (ng/mL)"
"1332","LBDVMPLC_VOCWBS","Blood Methylcyclopentane Comment Code"
"1333","LBXVNB_VOCWBS","Blood Nitrobenzene (ng/mL)"
"1334","LBDVNBLC_VOCWBS","Blood Nitrobenzene Comment Code"
"1335","LBXVOX_VOCWBS","Xylene (ng/mL)"
"1336","LBDVOXLC_VOCWBS","Xylene Comment Code"
"1337","LBXVTC_VOCWBS","Blood Trichloroethene (ng/mL)"
"1338","LBDVTCLC_VOCWBS","Blood Trichloroethene Comment Code"
